"No.","Time","Source","Destination","Protocol","Length","Info"
"55","145.981994","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0004, seq=1/256, ttl=255 (request in 54)"
"56","146.978574","10.0.0.2","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0004, seq=2/512, ttl=64 (reply in 57)"
"57","146.986442","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0004, seq=2/512, ttl=255 (request in 56)"
"58","147.316312","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"59","147.978589","10.0.0.2","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0004, seq=3/768, ttl=64 (reply in 60)"
"60","147.988364","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0004, seq=3/768, ttl=255 (request in 59)"
"61","148.980857","10.0.0.2","10.0.0.3","ICMP","98","Echo (ping) request  id=0x0004, seq=4/1024, ttl=64 (reply in 62)"
"62","148.992609","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0004, seq=4/1024, ttl=255 (request in 61)"
"63","149.113774","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"64","151.190135","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","Who has 10.0.0.3? Tell 10.0.0.2"
"65","151.200871","c2:02:59:88:00:00","PcsCompu_3c:b5:2b","ARP","60","10.0.0.3 is at c2:02:59:88:00:00"
"66","152.057438","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"67","157.684983","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"68","159.700050","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"69","163.843687","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"70","168.283781","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"71","170.274583","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"72","178.923501","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"73","180.922288","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"74","189.242014","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"75","191.527878","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"76","199.866098","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"77","202.212707","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"78","210.529651","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"79","212.626911","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"80","215.441132","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"81","221.104200","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"82","223.246411","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"83","227.392646","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"84","231.685956","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"85","233.798028","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"86","242.352311","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"87","244.433022","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"88","252.717470","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"89","255.067053","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"90","263.358742","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"91","265.701094","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"92","273.970890","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"93","276.101837","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"94","278.847442","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"95","284.460099","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"96","286.647298","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"97","290.809648","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"98","295.104335","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"99","297.232709","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"100","305.546569","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"101","307.919432","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"102","316.213504","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"103","318.594820","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"104","326.881839","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"105","329.275568","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"106","337.557825","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"107","339.694740","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"108","342.400796","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"109","348.083924","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"110","350.321134","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"111","354.490487","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"112","358.731040","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"113","360.916104","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"114","369.418181","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"115","371.594441","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"116","379.827926","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"117","382.319509","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"118","390.481240","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"119","392.976698","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"120","401.137574","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"121","403.664563","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"122","406.036121","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"123","411.693698","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"124","414.019048","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"125","418.186928","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"126","422.382745","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"127","424.623450","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"128","432.817231","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"129","435.319430","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"130","443.465705","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"131","445.967162","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"132","454.150827","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"133","456.662210","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"134","464.829523","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"135","467.118104","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"136","469.744247","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"137","475.423255","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"138","477.797384","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"139","481.943180","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"140","486.105759","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"141","488.405463","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"142","496.538893","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"143","499.057250","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"144","507.209220","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"145","509.750581","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"146","517.876335","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"147","520.426372","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"148","528.532239","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"149","530.838810","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"150","533.441113","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"151","539.115483","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"152","541.495305","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"153","545.655165","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"154","549.771377","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"155","552.152429","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"156","560.188551","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"157","562.769683","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"158","562.876280","c2:02:59:88:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"159","570.638774","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"160","573.349581","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"161","574.986268","PcsCompu_3c:b5:2b","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.2"
"162","574.990267","c2:02:59:88:00:00","PcsCompu_3c:b5:2b","ARP","60","10.0.0.3 is at c2:02:59:88:00:00"
"163","581.216526","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"164","583.985349","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"165","591.889219","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"166","594.379772","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"167","596.823577","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"168","602.524875","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"169","605.030211","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"170","609.197418","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"171","613.145614","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"172","615.616048","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"173","623.551540","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"174","626.288609","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"175","634.193573","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"176","636.954360","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"177","644.869460","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"178","647.638152","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"179","655.577303","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"180","658.351325","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"181","660.506188","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"182","666.183624","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"183","668.745260","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"184","672.884793","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"185","676.818739","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"186","679.338746","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"187","687.470662","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"188","689.676313","c2:01:78:a0:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"189","689.922593","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"190","697.882137","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"191","700.609472","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"192","708.537927","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"193","711.306177","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"194","719.223103","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"195","721.723208","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"196","724.108627","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"197","729.812097","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"198","732.418851","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"199","736.595002","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"200","740.440485","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"201","743.022947","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"202","751.091284","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"203","753.684023","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"204","761.509268","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"205","764.348329","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"206","772.205755","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"207","775.035490","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"208","782.906133","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"209","785.457250","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"210","787.842181","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"211","793.528491","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"212","796.152872","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"213","800.330718","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"214","804.205984","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"215","806.742036","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"216","814.861907","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"217","817.427849","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"218","825.515292","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"219","828.121427","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"220","835.955192","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"221","838.816238","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"222","846.639260","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"223","849.406538","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"224","851.570987","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"225","857.243874","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"226","859.919146","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"227","864.100774","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"228","867.906664","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"229","870.520525","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"230","878.446140","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"231","881.081072","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"232","888.875760","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"233","891.772957","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"234","899.485628","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"235","902.397468","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"236","910.128532","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"237","912.846119","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"238","915.056478","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"239","920.733477","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"240","923.477682","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"241","927.642707","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"242","931.371171","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"243","934.074976","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"244","942.060434","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"245","944.756236","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"246","952.553917","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"247","955.450477","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"248","962.056863","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"249","962.217940","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"250","972.803804","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"251","972.836009","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"252","977.748121","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"253","983.283598","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"254","983.399125","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"255","987.444551","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"256","993.848108","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"257","993.986978","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"258","1004.335339","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"259","1004.496508","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"260","1014.864519","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"261","1014.960934","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
